a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2,2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9
"0:00","1:20","357","bgm_MC143","bgm_MC143_juke","花開季節的真心","故事劇情主題曲\n-「映照在眼中的倒影」編曲-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文"
"0:00","2:25","358","bgm_MC145","bgm_MC145_juke","魔物植物‧莫培爾培","故事劇情Boss戰\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）"
"0:50","1:29","359","bgm_MC152","bgm_MC152","映照在眼中的倒影","角色歌曲\n\n時間 / 01:29\n演唱　 / 鈴莓（悠木碧）\n　　　鏡華（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐"
"0:00","1:31","360","bgm_MC142","bgm_MC142_juke","坐鎮於煉獄之物","主線冒險Boss戰\n-｢業火燃燒的密林｣編曲-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人"
"0:00","2:43","361","bgm_MC147","bgm_MC147_juke","大夢想樂園大遊行　寶石兔與祕密的夥伴們","故事劇情主題曲\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）"
"0:00","1:42","362","bgm_MC150","bgm_MC150_juke","捲土重來‧吉諾","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）"
"0:48","1:23","363","bgm_MC153","bgm_MC153","神奇寶石遊行！","角色歌曲\n\n時間 / 01:23\n歌　 / 庫露露（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN"
"0:00","2:47","364","bgm_MC148","bgm_MC148_juke","大夢想樂園導覽","故事劇情迷你內容\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab"
"0:00","1:45","365","bgm_MC156","bgm_MC156_juke","集合吧，做好事社團！　美空的愉快暑假","故事劇情主題曲\n-《Ai-愛的逃亡★》、《最終冒險★》編曲-\n\n時間 / 01:45\n作曲 / 梯拓哉（Cygames）、IM.Lab\n編曲 / 塚越廉"
"0:00","2:00","366","bgm_MC158","bgm_MC158_juke","盛夏的發狂史萊姆","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈"
"0:42","1:24","367","bgm_MC154","bgm_MC154","Ai-愛的逃亡★","角色歌曲\n\n時間 / 01:24\n歌　 / 美空（鬼頭明里）\n作詞 / 岩井彩夏\n作曲 / 梯拓哉（Cygames）\n編曲 / 梯拓哉（Cygames）"
"0:00","1:48","368","bgm_MC157","bgm_MC157_juke","修復夏日相片","故事劇情迷你內容\n-《Ai-愛的逃亡★》編曲-\n\n時間 / 01:48\n作曲 / 梯拓哉（Cygames）\n編曲 / 古見千桜子（Cygames）"
"0:00","1:27","369","bgm_MC162","bgm_MC162_juke","幻惑的妖精　-於盛夏之園起舞的身影-","故事劇情主題曲\n-「Re:collection」編曲-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）"
"0:00","2:15","370","bgm_MC164","bgm_MC164_juke","混沌生成系統","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈"
"0:50","1:28","371","bgm_MC193","bgm_MC193","Re:collection","角色歌曲\n\n時間 / 01:28\n演唱　 / 愛梅斯（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）"
"0:00","1:49","372","bgm_MC163A","bgm_MC163A_juke","水都的回憶","故事劇情迷你內容\n-「Re:collection」編曲-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大"
"0:00","1:29","373","bgm_MC178A","bgm_MC178A_juke","煉獄之叛亂","煉獄之叛亂\n\n時間 / 1:29\n作曲 / 中町友洋\n編曲 / 中町友洋"
"0:00","1:39","374","bgm_MC178B","bgm_MC178B_juke","煉獄之叛亂　-六凶‧魔蜘蛛阿剌克涅-","煉獄之叛亂\n\n時間 / 1:39\n作曲 / 中町友洋\n編曲 / 中町友洋"
"0:00","1:40","375","bgm_MC179A","bgm_MC179A_juke","與魔蜘蛛僕人的戰鬥","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平\n編曲 / 植田能平"
"0:00","1:40","376","bgm_MC179B","bgm_MC179B_juke","拿不准的盜賊三姊妹","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平‧関根修平（Cygames）\n編曲 / 植田能平"
"0:00","2:07","377","bgm_MC180","bgm_MC180_juke","與革命少女的戰鬥","煉獄之叛亂Boss戰\n\n時間 / 2:07\n作曲 / IM.Lab‧Enarak（Cygames）\n編曲 / Enarak（Cygames）"
"0:00","2:05","378","bgm_MC181A","bgm_MC181A_juke","潛藏在地底煉獄的災禍","煉獄之叛亂Boss戰\n\n時間 / 2:05\n作曲 / IM.Lab\n編曲 / 東大路憲太"
"0:00","2:08","379","bgm_MC181B","bgm_MC181B_juke","甦醒的六凶‧魔蜘蛛阿剌克涅","煉獄之叛亂Boss戰\n\n時間 / 2:08\n作曲 / IM.Lab\n編曲 / 東大路憲太"
"0:00","2:49","380","bgm_MC182","bgm_MC182_juke","再臨的公主造型冰龍","煉獄之叛亂Boss戰\n-「Yes！ Precious Harmony！」編曲-\n\n時間 / 2:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰"
"0:00","1:47","381","bgm_M408","bgm_M408_juke","雪菲","角色主題曲\n\n時間 / 1:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰"
"0:00","2:50","382","bgm_MC069","bgm_MC069_juke","芙蕾雅","角色主題曲\n\n時間 / 2:50\n作曲 / IM.Lab\n編曲 / IM.Lab"
"0:00","1:55","383","bgm_MC059","bgm_MC059_juke","阿剌克涅","角色主題曲\n\n時間 / 1:55\n作曲 / IM.Lab\n編曲 / IM.Lab"
"0:00","3:15","384","bgm_MC176B","bgm_MC176B_juke","顯現的魔蜘蛛真容","主線劇情\n\n時間 / 3:15\n作曲 / IM.Lab\n編曲 / IM.Lab"
"0:00","1:37","385","bgm_MC186","bgm_MC186_juke","望的一日店長記　這裡是阿爾克絲鍊金堂","故事劇情主題曲\n-《Dance in the Fragrance》《阿爾克絲鍊金堂》\n編曲-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）"
"0:00","1:34","386","bgm_MC188","bgm_MC188_juke","惡毒巨蛇","故事劇情Boss戰\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）"
"0:55","1:24","387","bgm_MC207","bgm_MC207","Dance in the Fragrance","角色歌曲\n\n時間 / 01:24\n演唱　 / 望（日笠陽子）\n　　　露易絲瑪莉（鈴代紗弓）\n　　　彩羽（青山吉能）\n　　　苑（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央"
"0:00","2:01","388","bgm_MC187","bgm_MC187_juke","阿爾克絲鍊金堂　業務日誌","故事劇情迷你內容\n-《Dance in the Fragrance》編曲-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）"
"0:00","1:39","389","bgm_MC189A","bgm_MC189A_juke","阿爾克絲鍊金堂","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）"
"0:00","1:39","390","bgm_MC189B","bgm_MC189B_juke","阿爾克絲鍊金堂（化學Ver.）","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）"
"0:00","1:55","391","bgm_MC194","bgm_MC194_juke","蠻賊歸來　炎國的無法無天姊妹","故事劇情主題曲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉"
"0:00","1:37","392","bgm_MC196","bgm_MC196_juke","超級 衝刺喬","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博"
"0:39","1:20","393","bgm_MC208","bgm_MC208","狂野蠻賊表演時間！！","角色歌曲\n\n時間 / 01:20\n演唱　 / 倭（ファイルーズあい）\n　　　若菜 (石見舞菜香)\n　　　布武機 (花井美春)\n作詞 / 岩井彩夏（Cygames）、佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）"
"0:00","1:54","394","bgm_MC198","bgm_MC198_juke","衝突！破壞！非法坦克大戰","小遊戲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）"
"0:00","0:23","395","bgm_MC199","bgm_MC199_Battle","出擊吧！戰車戰鬥！","小遊戲\n-「蠻賊三姊妹」編曲-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）"
"0:00","2:05","396","bgm_MC190","bgm_MC190_juke","Let's！「究極鍊成」！","究極鍊成\n-「阿爾克絲鍊金堂」編曲-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）"
"0:00","1:18","397","bgm_MC191","bgm_MC191_juke","於此地邂逅身經百戰的強敵","追憶之戰域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）"
"0:00","3:26","398","bgm_MC213","bgm_MC213_juke","Love＆Punishment　惡魔送來的聖誕節","故事劇情主題曲\n-｢今晚，在槲寄生底下｣編曲-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）"
"0:00","1:37","399","bgm_MC214","bgm_MC214_juke","年幼鬼魂‧吐舌鬼","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）"
"0:51","1:31","400","bgm_MC209","bgm_MC209","今晚，在槲寄生底下","角色歌曲\n\n時間 / 01:31\n演唱　 / 萊拉耶爾（河瀬茉希）\n　　　伊緒（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也"
"0:00","1:24","401","bgm_MC165","bgm_MC165_juke","朱火深淵","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab"
"0:00","1:24","402","bgm_MC166","bgm_MC166_juke","轟流深淵","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab"
"0:00","1:24","403","bgm_MC167","bgm_MC167_juke","烈風深淵","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab"
"0:00","1:24","404","bgm_MC168","bgm_MC168_juke","燦爛深淵","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab"
"0:00","1:24","405","bgm_MC169","bgm_MC169_juke","玄闇深淵","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab"
"0:00","1:56","406","bgm_MC170","bgm_MC170_juke","征戰深遠的潛魔深淵","深淵討伐戰\n\n時間 / 01:56\n作曲 / 塚越廉、松尾早人\n編曲 / 塚越廉"
"0:00","1:21","407","bgm_MC215B","bgm_MC215B_juke","迎春吉歐‧格黑納　蛇少女與雙姝劍士","故事劇情主題曲\n-｢Tiny Twin Stars！！｣編曲-\n\n時間 / 01:21\n作曲 / 金山秀士（Dream Monster）\n編曲 / 岡本優一（Cygames）"
"0:00","1:35","408","bgm_MC216","bgm_MC216_juke","咒縛的大蛇‧梅杜希亞娜","故事劇情Boss戰\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）"
"0:57","1:34","409","bgm_MC210","bgm_MC210","Tiny Twin Stars！！","角色歌曲\n\n時間 / 01:34\n演唱　 / 梅杜莎（水橋かおり）\n　　　莫妮卡（辻あゆみ）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）\n額外編曲 / 佐藤厚仁 (Dream Monster)"
"0:00","3:09","410","bgm_MC201","bgm_MC201_juke","寂靜的永凍冥界","主線冒險\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）"
"0:00","1:36","411","bgm_MC202","bgm_MC202_juke","吉歐‧尼布爾黑爾之戰","主線冒險\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）"
"0:00","1:57","412","bgm_MC203","bgm_MC203_juke","靜寂世界的強敵","主線冒險Boss戰\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人"
